who_sixteen_to_sixtyfour,rate,date ,data_type 
NO ,3.3,9/1/2019,Unemployment rate 
PWD,34.7,8/1/2019,Labor Force Participation Rate 
NO ,77.55,8/1/2019,Labor Force Participation Rate 
PWD ,7.7,8/1/2019,Unemployment rate 
NO ,3.75,8/1/2019,Unemployment rate 
PWD,34.15,7/1/2019,Labor Force Participation Rate 
NO ,77.95,7/1/2019,Labor Force Participation Rate 
PWD ,8.55,7/1/2019,Unemployment rate 
NO ,3.9,7/1/2019,Unemployment rate 
PWD,34,6/1/2019,Labor Force Participation Rate 
NO ,77.9,6/1/2019,Labor Force Participation Rate 
PWD ,8.5,6/1/2019,Unemployment rate 
NO ,3.75,6/1/2019,Unemployment rate 
PWD,32.85,5/1/2019,Labor Force Participation Rate 
NO ,77.15,5/1/2019,Labor Force Participation Rate 
PWD ,6.35,5/1/2019,Unemployment rate 
NO ,3.35,5/1/2019,Unemployment rate 
PWD,33.4,4/1/2019,Labor Force Participation Rate 
NO ,76.9,4/1/2019,Labor Force Participation Rate 
PWD ,7,4/1/2019,Unemployment rate 
NO ,3.25,4/1/2019,Unemployment rate 
PWD,34.25,3/1/2019,Labor Force Participation Rate 
NO ,77.25,3/1/2019,Labor Force Participation Rate 
PWD ,8.75,3/1/2019,Unemployment rate 
NO ,3.75,3/1/2019,Unemployment rate 
PWD,33.3,2/1/2019,Labor Force Participation Rate 
NO ,77.2,2/1/2019,Labor Force Participation Rate 
PWD ,9.85,2/1/2019,Unemployment rate 
NO ,3.9,2/1/2019,Unemployment rate 
PWD,33.05,1/1/2019,Labor Force Participation Rate 
NO ,76.95,1/1/2019,Labor Force Participation Rate 
PWD ,9.6,1/1/2019,Unemployment rate 
NO ,4.25,1/1/2019,Unemployment rate 
PWD,33.6,8/1/2020,Labor Force Participation Rate 
NO ,76.15,8/1/2020,Labor Force Participation Rate 
PWD ,14.45,8/1/2020,Unemployment rate 
NO ,8.35,8/1/2020,Unemployment rate 
PWD,32.95,7/1/2020,Labor Force Participation Rate 
NO ,76.45,7/1/2020,Labor Force Participation Rate 
PWD ,15,7/1/2020,Unemployment rate 
NO ,10.45,7/1/2020,Unemployment rate 
PWD,34.35,6/1/2020,Labor Force Participation Rate 
NO ,76.25,6/1/2020,Labor Force Participation Rate 
PWD ,17.45,6/1/2020,Unemployment rate 
NO ,11.1,6/1/2020,Unemployment rate 
PWD,34.15,5/1/2020,Labor Force Participation Rate 
NO ,74.85,5/1/2020,Labor Force Participation Rate 
PWD ,19.05,5/1/2020,Unemployment rate 
NO ,12.8,5/1/2020,Unemployment rate 
PWD,32.7,4/1/2020,Labor Force Participation Rate 
NO ,73.75,4/1/2020,Labor Force Participation Rate 
PWD ,19.7,4/1/2020,Unemployment rate 
NO ,14.25,4/1/2020,Unemployment rate 
PWD,34.9,3/1/2020,Labor Force Participation Rate 
NO ,77,3/1/2020,Labor Force Participation Rate 
PWD ,9.15,3/1/2020,Unemployment rate 
NO ,4.4,3/1/2020,Unemployment rate 
PWD,33.8,2/1/2020,Labor Force Participation Rate 
NO ,77.75,2/1/2020,Labor Force Participation Rate 
PWD ,8.6,2/1/2020,Unemployment rate 
NO ,3.65,2/1/2020,Unemployment rate 
PWD,33.55,1/1/2020,Labor Force Participation Rate 
NO ,77.45,1/1/2020,Labor Force Participation Rate 
PWD ,8.45,1/1/2020,Unemployment rate 
NO ,3.9,1/1/2020,Unemployment rate 
